;Forbrugertillidsindikatoren;Familiens økonomiske situation i dag, sammenlignet med for et år siden;Familiens økonomiske  situation om et år, sammenlignet med i dag;Danmarks økonomiske situation i dag, sammenlignet med for et år siden;Danmarks økonomiske situation om et år, sammenlignet med i dag;Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket;Priser i dag, sammenlignet med for et år siden;Priser om et år, sammenlignet med i dag;Arbejdsløsheden om et år, sammenlignet med i dag;Anskaffelse af større forbrugsgoder, inden for de næste 12 mdr.;Anser det som fornuftigt at spare op i den nuværende økonomiske situation;Regner med at kunne spare op i de kommende 12 måneder;Familiens økonomiske situation lige nu: kan spare/penge slår til/ bruger mere end man tjener
1998M01;11;13;13;18;5;4;-24;-15;-19;-8;63;30;26
1998M02;9;7;18;11;3;6;-23;-14;-16;-4;63;20;24
1998M03;10;11;16;13;6;6;-23;-14;-11;-3;66;29;27
1998M04;9;11;14;10;1;8;-22;-11;-16;-1;71;28;29
1998M05;7;12;14;13;-3;-3;-27;-14;-11;-5;69;35;32
1998M06;3;12;10;8;-8;-4;-23;-12;-5;-6;66;23;32
1998M07;-4;10;6;-10;-16;-10;-25;-11;-6;-9;49;23;26
1998M08;-1;9;11;-4;-13;-6;-26;-15;-10;-8;61;28;26
1998M09;0;7;12;-5;-12;-3;-29;-20;-18;-8;63;27;28
1998M10;-4;9;12;-15;-20;-4;-28;-15;2;-8;62;23;25
1998M11;-4;9;12;-16;-15;-9;-31;-18;2;-8;61;32;28
1998M12;-9;2;6;-24;-21;-10;-29;-18;11;-11;52;19;22
1999M01;-6;5;9;-15;-19;-8;-28;-15;10;-7;56;23;27
1999M02;-7;4;13;-21;-22;-10;-24;-12;10;-8;59;26;28
1999M03;-3;6;11;-15;-16;-3;-29;-18;9;-6;58;30;27
1999M04;-3;7;13;-14;-17;-5;-26;-17;13;-7;62;30;24
1999M05;-2;6;11;-10;-13;-3;-23;-15;10;-7;56;21;21
1999M06;-2;9;13;-11;-14;-9;-21;-15;10;-3;60;20;23
1999M07;-1;9;14;-10;-11;-6;-20;-13;10;-5;58;27;26
1999M08;0;8;13;-3;-13;-6;-19;-11;5;-11;59;29;26
1999M09;3;10;13;1;-8;-3;-18;-13;3;-7;63;29;26
1999M10;1;7;12;-2;-8;-6;-18;-14;2;-7;62;26;25
1999M11;-2;5;13;-5;-12;-9;-23;-13;4;-5;51;21;25
1999M12;-6;4;13;-6;-12;-27;-21;-4;2;-7;61;26;25
2000M01;-2;3;14;-3;-8;-14;-16;-6;-4;-10;68;25;24
2000M02;1;2;15;-4;-11;2;-17;-9;-4;-7;72;28;25
2000M03;-1;2;10;-3;-5;-7;-9;-7;-8;-5;63;29;23
2000M04;4;5;17;2;0;-2;-14;-8;-10;-8;63;27;26
2000M05;4;7;15;1;-1;-3;-10;-12;-8;-7;61;30;26
2000M06;5;10;13;3;-1;-1;-6;-7;-9;-4;69;31;27
2000M07;3;6;16;0;0;-8;-2;-11;-8;-9;66;25;25
2000M08;4;9;14;2;0;-6;-13;-16;-10;-7;59;23;25
2000M09;2;4;15;3;-3;-10;-14;-2;-4;-9;76;26;26
2000M10;3;6;11;1;-8;4;-13;-2;2;-13;69;21;23
2000M11;1;4;14;-4;-10;4;-5;1;0;-8;71;28;25
2000M12;2;4;14;1;0;-9;-8;-11;-3;-5;65;18;22
2001M01;3;7;13;3;-3;-3;-13;-12;0;-7;69;25;25
2001M02;1;3;17;0;-4;-9;-12;-11;-2;-6;74;26;22
2001M03;0;3;13;-3;-8;-6;-15;-10;1;-9;76;32;27
2001M04;-2;4;14;-9;-9;-10;-14;-11;5;-6;72;23;24
2001M05;0;8;12;-5;-6;-9;-7;-7;3;-6;73;30;27
2001M06;2;5;12;-3;-6;1;-8;-7;0;-7;75;29;25
2001M07;-1;4;12;-4;-3;-13;-10;-12;-1;-3;73;26;24
2001M08;-1;7;11;-2;-4;-15;-15;-13;-4;-4;74;29;26
2001M09;1;7;15;-4;-5;-7;-8;-5;0;-4;64;24;25
2001M10;-3;8;14;-8;-11;-17;-19;-12;10;-6;68;26;24
2001M11;-2;9;15;-4;-5;-27;-20;-14;13;-9;69;27;24
2001M12;0;9;16;-1;2;-27;-21;-18;8;-6;72;30;25
2002M01;3;6;18;-1;5;-14;-17;17;14;-4;70;31;23
2002M02;2;8;17;-3;-1;-12;-17;18;13;-6;74;32;28
2002M03;0;4;15;-2;2;-17;-11;26;8;-3;70;27;25
2002M04;4;8;13;0;4;-7;-14;20;4;-3;71;32;29
2002M05;2;9;14;-4;-1;-7;-13;21;8;-5;74;29;27
2002M06;1;8;12;-6;-2;-8;-13;17;5;-4;72;30;27
2002M07;1;9;15;-5;-3;-11;-13;22;2;-7;68;28;28
2002M08;-1;3;13;-7;-4;-12;-11;25;4;-7;69;31;28
2002M09;3;6;14;-4;0;-3;-16;22;7;-6;74;28;26
2002M10;1;6;16;-7;-2;-10;-13;20;2;-8;68;30;26
2002M11;0;4;14;-6;-3;-8;-17;9;8;-7;66;27;19
2002M12;-1;5;15;-9;-8;-9;-19;8;24;-3;66;29;20
2003M01;4;8;14;-4;-1;3;-18;10;16;-6;72;30;24
2003M02;-2;3;11;-11;-9;-3;-16;17;23;-5;76;30;25
2003M03;-3;3;13;-16;-14;-2;-20;18;31;-9;73;29;26
2003M04;-2;4;13;-13;-10;-3;-15;15;32;-6;72;30;23
2003M05;1;9;15;-12;-2;-6;-20;8;25;-8;64;31;30
2003M06;1;10;17;-12;0;-8;-21;3;25;-4;59;28;26
2003M07;0;8;11;-10;-4;-5;-26;3;27;-7;63;28;28
2003M08;2;6;12;-5;1;-6;-22;-1;21;-4;69;29;24
2003M09;0;4;14;-7;1;-12;-22;-3;24;-6;72;25;23
2003M10;2;6;14;-7;1;-5;-28;-6;20;-3;73;27;26
2003M11;2;6;15;-7;-3;0;-25;5;27;-2;71;29;26
2003M12;1;5;16;-10;3;-8;-27;-2;22;-6;71;26;22
2004M01;5;10;16;-1;9;-9;-30;-4;13;-4;67;31;27
2004M02;2;4;16;-7;2;-6;-24;1;29;-2;66;29;23
2004M03;3;7;14;-5;2;-5;-24;3;21;-3;71;28;22
2004M04;8;12;19;5;10;-7;-29;-5;10;1;65;24;25
2004M05;8;12;15;9;7;-4;-28;-10;10;-1;68;29;27
2004M06;7;13;16;7;6;-6;-27;-5;2;-1;71;28;27
2004M07;8;13;14;8;6;0;-30;-6;2;-2;66;30;25
2004M08;10;15;17;11;5;0;-30;-7;2;-3;75;37;29
2004M09;7;12;14;9;6;-9;-31;-7;3;-2;75;37;31
2004M10;7;11;14;8;4;-3;-29;-3;10;0;75;36;28
2004M11;7;12;14;8;2;-3;-33;-8;8;0;75;35;29
2004M12;8;14;15;14;6;-7;-30;-8;7;-2;74;35;29
2005M01;11,2;13,3;16,3;15,8;9,5;1,3;-32,1;-7,4;3,9;-0,5;72,3;38,2;33,1
2005M02;8,9;13,7;15,8;13,1;7,2;-5,1;-35,7;-16,8;5,1;0,6;69,9;37,9;29,5
2005M03;4,6;11,1;16,2;7,9;1,9;-13,9;-34,5;-6,9;13,7;-2,2;75,4;37,8;30,6
2005M04;8;12,3;15,1;14,8;4,2;-6,2;-26,9;-5,5;5,6;2,1;67,7;37,5;29
2005M05;7,1;11,2;15,1;13,8;5,4;-10,2;-27;-13,6;4,4;-3,3;71,4;38,5;27,8
2005M06;5,6;9,5;16,8;11,8;1,6;-11,7;-31,7;-15,2;5,6;-1,9;72,7;39,9;27,2
2005M07;8,9;13,3;12,8;18;3,9;-3,6;-29,7;-7,6;1;-1,5;65;37,1;30,7
2005M08;11,1;13,7;15,5;21;6,1;-1;-21,7;-6,7;-3,3;-1,2;65;31;29,5
2005M09;9,7;10,7;13,8;19,8;7,4;-3,3;-19,4;9;-8;-0,2;71,9;35,3;29
2005M10;11,1;13,5;16,1;20,2;7,7;-2;-24,4;-10,1;-6,4;1,1;69,2;32,8;28,1
2005M11;11,2;13,1;13,8;22;7;0,2;-24,3;1,7;-6;-3,5;75,1;37,2;29,7
2005M12;8,4;12,9;15,2;20,8;6,6;-13,4;-26,1;1,6;-11;-1,9;72;34,4;28,7
2006M01;15,5;16,2;17,4;28,1;13,2;2,9;-26,9;2,3;-18,1;4,4;74;35,2;33,5
2006M02;11,8;11,7;15,5;24,5;7,6;-0,2;-26,1;5,5;-6,1;4,1;68,4;30,1;29,4
2006M03;10,4;13,2;16,2;20,3;5,3;-2,8;-29,2;1,3;-8;3,5;75,2;42,5;31,1
2006M04;11,1;11,8;15,3;23,7;6,9;-2,2;-24,2;-0,9;-13,4;4,1;73,4;32,3;28,3
2006M05;11,7;14,9;14;26;6,7;-2,9;-25,4;-5,1;-15;1,9;70,7;36,3;32
2006M06;9,3;16,8;17,6;20,9;0,3;-9,2;-24,8;-0,7;-12,8;1,5;72,3;34,9;31,7
2006M07;8,6;15,3;13;21,3;1,8;-8,6;-22;4,3;-13;-1,8;66,5;33,7;33,4
2006M08;10,4;15;14,4;27,5;4,4;-9,4;-21,1;4,8;-13;-1,3;76,5;38,7;29,1
2006M09;9,3;11,4;13,9;22,9;4,1;-5,6;-22,3;9,5;-14,1;-1,2;75,7;32,4;28,6
2006M10;9,3;12,8;15,2;22,5;5,4;-9,4;-27,3;-4,3;-11,6;3,1;75,5;32,1;29,8
2006M11;10,7;14,8;16,8;23,8;5;-6,9;-24,2;1;-14,2;0,4;76,5;40,3;30,3
2006M12;7,4;15;13,3;22;2,3;-15,5;-26,8;3,4;-9,4;-0,6;79;40,3;32,2
2007M01;11,8;12,6;16,4;27,4;7;-4,6;-25,7;1,1;-14,1;-0,8;77,9;36,9;34,1
2007M02;9,2;12,9;16,7;21,8;4,5;-10;-23,8;6,4;-10,8;-2,4;78,9;36,6;30,7
2007M03;8,8;11,9;17,8;21;4,8;-11,6;-22;1,3;-8,6;1,1;80,7;38,7;30,6
2007M04;8,6;12,1;16,7;18,7;4,5;-9;-19,5;5,2;-10,5;0,5;77,1;30,4;28,7
2007M05;7,9;12,1;15;16,8;4,8;-9,3;-18,6;2,1;-6,4;1;79,2;37,2;30,2
2007M06;9,3;14,2;17,1;16,8;4,2;-6;-17,5;-0,3;-9,9;3,3;76,3;34,3;31,7
2007M07;8,4;15,4;17,2;15,7;2,2;-8,5;-18,7;8,9;-11,2;-1,1;77,6;32,1;30,7
2007M08;5,3;14,1;18,7;11,3;1,2;-18,6;-16,8;7,7;-6,8;-2,1;80,8;30,8;27,5
2007M09;5,7;9,8;16,2;12,9;1,6;-11,8;-14,3;26,3;-8;-2,1;76,7;27,7;25,4
2007M10;5,4;12;18,5;8,4;1,7;-13,7;-10,8;15,4;-9,6;-2,7;78,3;24,1;24,8
2007M11;6,1;6,6;13,5;14,4;4,9;-8,8;-6,9;19,1;-7,6;-4,1;76,4;26,1;25,5
2007M12;2,9;7,4;14,2;8,5;-4,3;-11,5;2,8;23;2;-1,6;78,5;27,5;27,1
2008M01;-1,1;4,5;14,6;4,4;-12,2;-16,8;18,7;29,1;2,5;-3,5;83,7;20,8;24,1
2008M02;-2,5;4,6;12,2;-4,7;-12,6;-12,1;24,2;14,3;5,8;-2,1;75,5;26;24,3
2008M03;-1,3;4,1;14,8;-3,5;-9,6;-12,4;32;22,4;4,4;-0,7;76,7;26,7;26,6
2008M04;-3,1;5,7;14,6;-3,4;-15;-17,1;34,1;17,2;12,6;-4,9;80,7;25,1;25,4
2008M05;-3,5;8,1;14,5;-7,8;-14,3;-18,1;39,1;16,6;11,3;-2,8;79,4;28,2;25,2
2008M06;-6,6;6,5;8,8;-11,6;-19,8;-16,8;53,4;27,6;15,8;-6,5;81,4;28,5;25,7
2008M07;-9,7;6,7;10,4;-17,3;-21,9;-26,4;55;15,6;23,4;-8,4;78,9;19,2;20,4
2008M08;-12,2;2,5;9,2;-22,8;-20,7;-29,2;52,4;6,5;16,6;-8,6;70,8;24;23,3
2008M09;-11,1;2,1;11,3;-24,4;-22,3;-22,2;44,6;8;20,6;-7,3;73,4;28,1;24,7
2008M10;-16,6;-0,4;9,1;-40,2;-19,7;-31,7;42,1;-4,1;37,1;-12,6;80,8;17,7;24,2
2008M11;-11,5;0;12,4;-36,5;-2,2;-31,1;31,2;-13,7;41,3;-9,2;74,2;26,7;25,6
2008M12;-13,5;0,7;15,5;-40,6;-7,3;-35,6;8,1;-35,5;45,6;-7,9;69,3;26,7;19,9
2009M01;-9,1;0,5;14,7;-39,4;-3,8;-17,5;-8,4;-38,1;46,3;-10,3;75,7;28,2;25,4
2009M02;-11,3;2,5;13,5;-50,8;-5,3;-16,6;-15,6;-41,6;51,4;-10;70,3;24;24
2009M03;-11,7;-0,7;9,2;-53,3;1,2;-15;-16,6;-31,5;45,5;-8,4;67,4;26,3;25,1
2009M04;-4,4;1,6;12,3;-43,5;10,4;-2,6;-17,9;-33,2;31,8;-9,4;72,2;29,1;25,3
