bolig_id;addr;vej;zip;pris;energi;type;kvm;ejerudg;grund;vaer;liggetid;alder
99eaf69d-4db9-431e-a701-6b5f18d61a51;/adresse/elmekrogen-19-3200-helsinge;Elmekrogen 193200 Helsinge;3200 Helsinge;3.200.000,00 kr.;Energimærke C;Villa;126 m²;Ejerudg. 2.967 kr./md;Grund 785 m²;3 Vær.;-;Opført 1974
1595ec2c-da2f-4039-8afa-1fcd40c5074c;/adresse/platanalle-11-6000-kolding;Platanalle 11Bramdrupdam, 6000 Kolding;Bramdrupdam, 6000 Kolding;1.245.000,00 kr.;Energimærke C;Villa;100 m²;Ejerudg. 2.139 kr./md;Grund 979 m²;4 Vær.;-;Opført 1965
fba260cd-cd03-4e0a-a767-37674977225d;/adresse/hoejgaardsvej-2-8961-allingaabro;Højgårdsvej 2Vivild, 8961 Allingåbro;Vivild, 8961 Allingåbro;398.000,00 kr.;Intet energimærke;Villa;111 m²;Ejerudg. 1.308 kr./md;Grund 518 m²;2 Vær.;-;Opført 1923
7d08555d-2ce7-4502-85fb-1410c58705f8;/adresse/groenlandsvej-5-9900-frederikshavn;Grønlandsvej 59900 Frederikshavn;9900 Frederikshavn;1.045.000,00 kr.;Energimærke C;Villa;109 m²;Ejerudg. 1.362 kr./md;Grund 686 m²;4 Vær.;-;Opført 1963
e4c760b8-c2fd-434a-97f4-aa138d833da6;/adresse/zoarsvej-5-3480-fredensborg;Zoarsvej 53480 Fredensborg;3480 Fredensborg;5.495.000,00 kr.;Energimærke D;Villa;136 m²;Ejerudg. 5.673 kr./md;Grund 1.129 m²;4 Vær.;-;Opført 1967
8603f1ba-8f0f-417e-aa82-9e0b2dd851b4;/adresse/chl-hansensvej-7-2791-dragoer;Chl Hansensvej 72791 Dragør;2791 Dragør;9.750.000,00 kr.;Energimærke D;Villa;122 m²;Ejerudg. 7.957 kr./md;Grund 432 m²;2 Vær.;-;Opført 1910
4a9c42ee-bb2d-479b-af77-c119d3175c1d;/adresse/sneserevej-44-2770-kastrup;Sneserevej 442770 Kastrup;2770 Kastrup;4.695.000,00 kr.;Energimærke D;Villa;128 m²;Ejerudg. 4.684 kr./md;Grund 724 m²;4 Vær.;-;Opført 1965
c6f96d6d-45c3-4ce4-993d-0281fa885795;/adresse/primulavej-7-6710-esbjerg-v;Primulavej 76710 Esbjerg V;6710 Esbjerg V;1.775.000,00 kr.;Energimærke E;Villa;110 m²;Ejerudg. 2.155 kr./md;Grund 788 m²;4 Vær.;-;Opført 1960
e247cdab-a97b-4fcc-843c-aaf28bda6c83;/adresse/tranekaervej-58-7400-herning;Tranekærvej 58Tjørring, 7400 Herning;Tjørring, 7400 Herning;1.695.000,00 kr.;Energimærke C;Villa;126 m²;Ejerudg. 1.857 kr./md;Grund 813 m²;3 Vær.;-;Opført 1967
ebf276ac-4e97-4a46-a8a9-19ebe5568e1f;/adresse/fynsvej-33-4600-koege;Fynsvej 334600 Køge;4600 Køge;4.750.000,00 kr.;Energimærke D;Villa;145 m²;Ejerudg. 3.265 kr./md;Grund 919 m²;4 Vær.;-;Opført 1969
351318bc-eec7-4bcd-aea9-d3ef807e790f;/adresse/blaabjergvej-90-6830-noerre-nebel;Blåbjergvej 90Houstrup, 6830 Nørre Nebel;Houstrup, 6830 Nørre Nebel;1.495.000,00 kr.;Energimærke G;Villa;85 m²;Ejerudg. 1.180 kr./md;Grund 824 m²;4 Vær.;-;Opført 1887
1d85eb73-8c94-472d-a4ad-d9a095d38863;/adresse/dahlsvej-10-9330-dronninglund;Dahlsvej 109330 Dronninglund;9330 Dronninglund;795.000,00 kr.;Energimærke C;Villa;77 m²;Ejerudg. 1.343 kr./md;Grund 394 m²;3 Vær.;-;Opført 1910
bc40e1da-1829-439a-b31b-9bfc3a8723b0;/adresse/kimingen-6-7600-struer;Kimingen 6Venø, 7600 Struer;Venø, 7600 Struer;2.975.000,00 kr.;Energimærke C;Villa/Fritidsbolig;166 m²;Ejerudg. 2.061 kr./md;Grund 1.753 m²;4 Vær.;-;Opført 1890
66e32116-ccae-4558-a1ce-d5e194f494b9;/adresse/jeckelsvej-9-9990-skagen;Jeckelsvej 99990 Skagen;9990 Skagen;8.795.000,00 kr.;Energimærke D;Villa/Fritidsbolig;157 m²;Ejerudg. 3.940 kr./md;Grund 525 m²;3 Vær.;-;Opført 1929
739c1df6-63ab-4bdb-a07a-889e7c0caa8c;/adresse/loevvaenget-19b-3100-hornbaek;Løvvænget 19B3100 Hornbæk;3100 Hornbæk;3.495.000,00 kr.;Energimærke D;Villa;111 m²;Ejerudg. 2.991 kr./md;Grund 1.158 m²;4 Vær.;-;Opført 1983
2fb4940b-408c-4733-82a1-bb116013998e;/adresse/kirkegade-3-7673-harbooere;Kirkegade 37673 Harboøre;7673 Harboøre;398.000,00 kr.;Energimærke E;Villa/Fritidsbolig;107 m²;Ejerudg. 932 kr./md;Grund 305 m²;4 Vær.;-;Opført 1963
28bcf383-0af7-427a-a6f2-9ef9b0fb9302;/adresse/pilealle-10-4760-vordingborg;Pilealle 104760 Vordingborg;4760 Vordingborg;2.250.000,00 kr.;Energimærke E;Villa/Fritidsbolig;140 m²;Ejerudg. 2.382 kr./md;Grund 800 m²;3 Vær.;-;Opført 1934
6dbf2ed9-3f10-4f04-b440-cdecbaef32c5;/adresse/myrtebo-12-9210-aalborg-soe;Myrtebo 129210 Aalborg SØ;9210 Aalborg SØ;3.295.000,00 kr.;Energimærke C;Villa;150 m²;Ejerudg. 2.329 kr./md;Grund 786 m²;4 Vær.;-;Opført 2000
