;P.31 Husholdningernes forbrugsudgifter
1999K1;198647
1999K2;196028
1999K3;197825
1999K4;197768
2000K1;197878
2000K2;198468
2000K3;198461
2000K4;197444
2001K1;198141
2001K2;200486
2001K3;199337
2001K4;197854
2002K1;201178
2002K2;200657
2002K3;203394
2002K4;203450
2003K1;201662
2003K2;203348
2003K3;205468
2003K4;209149
2004K1;210005
2004K2;211607
2004K3;216572
2004K4;223232
2005K1;218914
2005K2;224196
2005K3;226854
2005K4;225841
2006K1;230291
2006K2;232330
2006K3;227591
2006K4;230170
2007K1;232544
2007K2;232508
2007K3;235152
2007K4;238335
2008K1;238564
2008K2;239528
2008K3;235849
2008K4;226536
2009K1;224487
2009K2;227015
2009K3;227380
2009K4;226360
2010K1;229808
2010K2;227943
2010K3;229076
2010K4;230359
2011K1;227162
2011K2;230146
2011K3;230475
2011K4;230524
2012K1;229156
2012K2;229937
2012K3;229431
2012K4;231769
2013K1;233325
2013K2;233994
2013K3;234180
2013K4;234334
2014K1;231612
2014K2;233383
2014K3;234072
2014K4;234979
2015K1;234324
2015K2;236416
2015K3;240643
2015K4;241615
2016K1;244477
2016K2;245706
